"Tipo_de_Estudio","Jurisdiccion","Localidad","Sector","Fecha_de_Inicio","Semana_Epidemiologica","Recipientes_Tratables","Recipientes_Controlables","Recipientes_Eliminables"
"Verificacion","2601 Hermosillo                                        ","0001 HERMOSILLO",569,"07/01/2021",1,0,0,0
"Encuesta","2601 Hermosillo                                        ","0001 HERMOSILLO",569,"04/01/2021",1,27,18,0
"Encuesta","2601 Hermosillo                                        ","0001 HERMOSILLO",401,"07/01/2021",1,0,6,0
"Verificacion","2601 Hermosillo                                        ","0001 HERMOSILLO",401,"07/01/2021",1,3,0,0
"Encuesta","2601 Hermosillo                                        ","0001 HERMOSILLO",400,"07/01/2021",1,3,6,0
"Encuesta","2601 Hermosillo                                        ","0001 HERMOSILLO",403,"07/01/2021",1,6,3,0
"Verificacion","2601 Hermosillo                                        ","0001 HERMOSILLO",400,"08/01/2021",1,3,12,0
"Verificacion","2601 Hermosillo                                        ","0001 HERMOSILLO",403,"06/01/2021",1,0,18,0
"Encuesta","2601 Hermosillo                                        ","0001 HERMOSILLO",444,"07/01/2021",1,0,0,0
"Encuesta","2601 Hermosillo                                        ","0001 HERMOSILLO",540,"08/01/2021",1,3,27,3
"Verificacion","2601 Hermosillo                                        ","0001 HERMOSILLO",444,"08/01/2021",1,0,0,0
"Encuesta","2601 Hermosillo                                        ","0001 HERMOSILLO",390,"06/01/2021",1,3,9,0
"Verificacion","2601 Hermosillo                                        ","0001 HERMOSILLO",540,"06/01/2021",1,3,6,0
"Verificacion","2601 Hermosillo                                        ","0001 HERMOSILLO",390,"08/01/2021",1,0,0,0
"Encuesta","2601 Hermosillo                                        ","0001 HERMOSILLO",513,"12/01/2021",2,0,0,0
"Verificacion","2601 Hermosillo                                        ","0001 HERMOSILLO",513,"12/01/2021",2,0,0,0
"Verificacion","2601 Hermosillo                                        ","0001 HERMOSILLO",500,"11/01/2021",2,0,0,0
"Encuesta","2601 Hermosillo                                        ","0001 HERMOSILLO",500,"14/01/2021",2,3,12,0
"Encuesta","2601 Hermosillo                                        ","0001 HERMOSILLO",1305,"12/01/2021",2,3,9,0
"Verificacion","2601 Hermosillo                                        ","0001 HERMOSILLO",1305,"12/01/2021",2,0,0,0
